Currency,Rate,Base,Date
USDAED,3.673048,USD,2025-01-05 22:08:04
USDAFN,70.376654,USD,2025-01-05 22:08:04
USDALL,95.089437,USD,2025-01-05 22:08:04
USDAMD,398.95293,USD,2025-01-05 22:08:04
USDANG,1.799312,USD,2025-01-05 22:08:04
USDAOA,911.999822,USD,2025-01-05 22:08:04
USDARS,1032.502819,USD,2025-01-05 22:08:04
USDAUD,1.60901,USD,2025-01-05 22:08:04
USDAWG,1.8025,USD,2025-01-05 22:08:04
USDAZN,1.692558,USD,2025-01-05 22:08:04
USDBAM,1.896166,USD,2025-01-05 22:08:04
USDBBD,2.015803,USD,2025-01-05 22:08:04
USDBDT,121.295264,USD,2025-01-05 22:08:04
USDBGN,1.89739,USD,2025-01-05 22:08:04
USDBHD,0.376751,USD,2025-01-05 22:08:04
USDBIF,2952.736439,USD,2025-01-05 22:08:04
USDBMD,1.0,USD,2025-01-05 22:08:04
USDBND,1.367686,USD,2025-01-05 22:08:04
USDBOB,6.899026,USD,2025-01-05 22:08:04
USDBRL,6.182199,USD,2025-01-05 22:08:04
USDBSD,0.9984,USD,2025-01-05 22:08:04
USDBTC,1.0045533e-05,USD,2025-01-05 22:08:04
USDBTN,85.668719,USD,2025-01-05 22:08:04
USDBWP,13.875612,USD,2025-01-05 22:08:04
USDBYN,3.267245,USD,2025-01-05 22:08:04
USDBYR,19600.0,USD,2025-01-05 22:08:04
USDBZD,2.005429,USD,2025-01-05 22:08:04
USDCAD,1.44459,USD,2025-01-05 22:08:04
USDCDF,2868.528755,USD,2025-01-05 22:08:04
USDCHF,0.908409,USD,2025-01-05 22:08:04
USDCLF,0.036635,USD,2025-01-05 22:08:04
USDCLP,1010.88013,USD,2025-01-05 22:08:04
USDCNY,7.320598,USD,2025-01-05 22:08:04
USDCNH,7.35918,USD,2025-01-05 22:08:04
USDCOP,4368.025595,USD,2025-01-05 22:08:04
USDCRC,508.895245,USD,2025-01-05 22:08:04
USDCUC,1.0,USD,2025-01-05 22:08:04
USDCUP,26.5,USD,2025-01-05 22:08:04
USDCVE,106.902904,USD,2025-01-05 22:08:04
USDCZK,24.410502,USD,2025-01-05 22:08:04
USDDJF,177.778855,USD,2025-01-05 22:08:04
USDDKK,7.237335,USD,2025-01-05 22:08:04
USDDOP,60.982113,USD,2025-01-05 22:08:04
USDDZD,135.762276,USD,2025-01-05 22:08:04
USDEGP,50.793789,USD,2025-01-05 22:08:04
USDERN,15.0,USD,2025-01-05 22:08:04
USDETB,127.484318,USD,2025-01-05 22:08:04
USDEUR,0.970325,USD,2025-01-05 22:08:04
USDFJD,2.326204,USD,2025-01-05 22:08:04
USDFKP,0.791982,USD,2025-01-05 22:08:04
USDGBP,0.804845,USD,2025-01-05 22:08:04
USDGEL,2.815018,USD,2025-01-05 22:08:04
USDGGP,0.791982,USD,2025-01-05 22:08:04
USDGHS,14.676426,USD,2025-01-05 22:08:04
USDGIP,0.791982,USD,2025-01-05 22:08:04
USDGMD,72.501083,USD,2025-01-05 22:08:04
USDGNF,8630.568617,USD,2025-01-05 22:08:04
USDGTQ,7.702749,USD,2025-01-05 22:08:04
USDGYD,208.774056,USD,2025-01-05 22:08:04
USDHKD,7.77921,USD,2025-01-05 22:08:04
USDHNL,25.373019,USD,2025-01-05 22:08:04
USDHRK,7.172906,USD,2025-01-05 22:08:04
USDHTG,130.408648,USD,2025-01-05 22:08:04
USDHUF,402.95902,USD,2025-01-05 22:08:04
USDIDR,16200.4,USD,2025-01-05 22:08:04
USDILS,3.64957,USD,2025-01-05 22:08:04
USDIMP,0.791982,USD,2025-01-05 22:08:04
USDINR,85.766499,USD,2025-01-05 22:08:04
USDIQD,1307.867565,USD,2025-01-05 22:08:04
USDIRR,42100.000118,USD,2025-01-05 22:08:04
USDISK,139.780506,USD,2025-01-05 22:08:04
USDJEP,0.791982,USD,2025-01-05 22:08:04
USDJMD,155.451064,USD,2025-01-05 22:08:04
USDJOD,0.709396,USD,2025-01-05 22:08:04
USDJPY,157.206012,USD,2025-01-05 22:08:04
USDKES,129.04164,USD,2025-01-05 22:08:04
USDKGS,87.000187,USD,2025-01-05 22:08:04
USDKHR,4027.340152,USD,2025-01-05 22:08:04
USDKMF,466.125028,USD,2025-01-05 22:08:04
USDKPW,899.999441,USD,2025-01-05 22:08:04
USDKRW,1466.869831,USD,2025-01-05 22:08:04
USDKWD,0.308502,USD,2025-01-05 22:08:04
USDKYD,0.831936,USD,2025-01-05 22:08:04
USDKZT,523.951718,USD,2025-01-05 22:08:04
USDLAK,21781.957439,USD,2025-01-05 22:08:04
USDLBP,89405.98187,USD,2025-01-05 22:08:04
USDLKR,293.26676,USD,2025-01-05 22:08:04
USDLRD,184.197004,USD,2025-01-05 22:08:04
USDLSL,18.737021,USD,2025-01-05 22:08:04
USDLTL,2.95274,USD,2025-01-05 22:08:04
USDLVL,0.60489,USD,2025-01-05 22:08:04
USDLYD,4.906685,USD,2025-01-05 22:08:04
USDMAD,10.069805,USD,2025-01-05 22:08:04
